city,population
Ostfildern,39321.0
Maintal,39298.0
Ahaus,39223.0
Ilmenau,39017.0
Mettmann,38829.0
Würselen,38712.0
Bitterfeld,38475.0
Bautzen,38329.0
Pirna,38316.0
Niederkassel,38218.0
Langen,37902.0
Greven,37692.0
Fürstenfeldbruck,37677.0
Neu Isenburg,37668.0
Papenburg,37579.0
Kamp-Lintfort,37391.0
Backnang,37253.0
Warendorf,37226.0
Königs Wusterhausen,37190.0
Suhl,36955.0
Beckum,36646.0
Erding,36469.0
Coesfeld,36217.0
Mühlhausen,36200.0
Wesseling,36146.0
Kehl,36089.0
Emsdetten,36012.0
Tuttlingen,35730.0
Sankt Ingbert,35714.0
Porta Westfalica,35671.0
Sinsheim,35442.0
Meppen,35373.0
Limburg,35243.0
Ingelheim,35146.0
Lage,35047.0
Cloppenburg,34913.0
Winsen,34896.0
Mörfelden-Walldorf,34828.0
Wermelskirchen,34765.0
Datteln,34614.0
Kempen,34597.0
Saarlouis,34552.0
Leer,34486.0
Seelze,34442.0
Crailsheim,34400.0
Barsinghausen,34234.0
Balingen,34217.0
Zweibrücken,34209.0
Viernheim,34175.0
Steinfurt,34084.0
Merseburg,34080.0
Hemer,34080.0
Dietzenbach,34019.0
Radebeul,34008.0
Bad Vilbel,33990.0
Geldern,33836.0
Goch,33825.0
Kornwestheim,33803.0
Uelzen,33614.0
Deggendorf,33585.0
Wedel,33547.0
Ahrensburg,33472.0
Rheinfelden (Baden),33074.0
Korschenbroich,33066.0
Biberach,32938.0
Wernigerode,32733.0
Bernburg,32674.0
Jülich,32632.0
Lampertheim,32537.0
Vechta,32433.0
Naumburg,32402.0
Forchheim,32171.0
Bad Nauheim,32163.0
Hoyerswerda,32123.0
Altenburg,32074.0
Delbrück,31949.0
Fürstenwalde,31941.0
Achim,31911.0
Itzehoe,31879.0
Georgsmarienhütte,31827.0
Herrenberg,31545.0
Oer-Erkenschwick,31442.0
Radolfzell am Bodensee,31203.0
Kreuztal,31187.0
Rheinberg,31097.0
Bramsche,30952.0
Neuruppin,30846.0
Einbeck,30826.0
Werl,30772.0
Schönebeck,30720.0
Burgdorf,30699.0
Gevelsberg,30695.0
Geesthacht,30551.0
Haan,30484.0
Lohmar,30363.0
Osterholz-Scharmbeck,30300.0
Weil am Rhein,30175.0
Ennepetal,30075.0
Riesa,30054.0
Taunusstein,30005.0
Andernach,29966.0
Meschede,29921.0
Schwedt (Oder),29920.0
Friedberg,29810.0
Bad Hersfeld,29800.0
Gaggenau,29777.0
Merzig,29745.0
Neuburg,29682.0
Derne,29662.0
Vaihingen an der Enz,29467.0
Rietberg,29466.0
Saalfeld,29457.0
Bretten,29412.0
Waltrop,29345.0
Oelde,29326.0
